X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
174.750460000099963,-36.747399998702818,1749131,3662,3662,Hail and Ride Kowhai Rd,,Stop,-36.7474,174.75046,41396,School Bus
174.754219999521979,-36.742876943669593,1749132,3664,3664,Hail and Ride Kowhai Rd,,Stop,-36.74287694,174.75422,41393,School Bus
174.687019999579007,-36.762734999241822,1749133,3666,3666,Upper Harbour Primary Bus Bay,,Stop,-36.762735,174.68702,41461,School Bus
174.714700833761384,-36.780128887670479,1749134,3676,3676,Glenfield College Bus Bay,,Stop,-36.78012889,174.71470083,49508,School Bus
174.714818611646052,-36.810165277264389,1749135,3680,3680,Roseberry Rd (on request),,Stop,-36.81016528,174.71481861,41195,School Bus
174.696560555132038,-36.712105277322593,1749136,3696,3696,220 Gills Rd Hail and Ride,,Stop,-36.71210528,174.69656056,41644,School Bus
174.70085777788816,-36.79555777682662,1749137,3698,3698,Birkdale Intermediate,,Stop,-36.79555778,174.70085778,41231,School Bus
174.696838610997844,-36.712084721549743,1749138,3706,3706,225 Gills Rd Hail and Ride,,Stop,-36.71208472,174.69683861,41644,School Bus
174.714580000215449,-36.775616110544853,1749139,3779,3779,21 Easton Park Pde,,Stop,-36.77561611,174.71458,41310,School Bus
174.714869999773526,-36.778856110586702,1749140,3781,3781,65 Easton Park Pde,,Stop,-36.77885611,174.71487,41841,School Bus
174.711419999555943,-36.782696943936365,1749141,3787,3787,Opp 106 Stanley Rd,,Stop,-36.78269694,174.71142,41282,School Bus
174.711979999896414,-36.789241110545724,1749142,3795,3795,57 Seaview Rd,,Stop,-36.78924111,174.71198,41278,School Bus
174.713650000220241,-36.789718054761508,1749143,3797,3797,41 Seaview Rd,,Stop,-36.78971806,174.71365,41277,School Bus
174.717442499924942,-36.789680832189326,1749144,3799,3799,13 Stanley Rd,,Stop,-36.78968083,174.7174425,41276,School Bus
174.720019999933811,-36.789976110259062,1749145,3801,3801,5 Roberts Rd,,Stop,-36.78997611,174.72002,41275,School Bus
174.740729999824481,-36.785693054690903,1749146,3809,3809,115 Sunnybrae Rd,,Stop,-36.78569306,174.74073,49609,School Bus
174.732399999660771,-36.78994805464113,1749147,3823,3823,95 Coronation Rd,,Stop,-36.78994806,174.7324,41255,School Bus
174.735649999776967,-36.767587776563175,1749148,3842,3842,142 Target Rd,,Stop,-36.76758778,174.73565,41426,School Bus
174.728099999576898,-36.782184998674936,1749149,3877,3877,15 Bentley Ave,,Stop,-36.782185,174.7281,41289,School Bus
174.715559999905196,-36.774996943773473,1749150,3908,3908,8 Easton Park Pde,,Stop,-36.77499694,174.71556,49624,School Bus
174.71496861139596,-36.778866943526054,1749151,3910,3910,60 Easton Park Pde,,Stop,-36.77886694,174.71496861,41841,School Bus
174.718829999928261,-36.780828887829863,1749152,3912,3912,36 Kaipatiki Rd,,Stop,-36.78082889,174.71883,41306,School Bus
174.714630000169734,-36.779679999030144,1749153,3914,3914,Kaipatiki Rd near Glenfield College,,Stop,-36.77968,174.71463,49508,School Bus
174.713219999540712,-36.78478611021584,1749154,3920,3920,4 Contessa Dr,,Stop,-36.78478611,174.71322,41837,School Bus
174.711199999556385,-36.785323055083857,1749155,3922,3922,28 Contessa Dr,,Stop,-36.78532306,174.7112,41280,School Bus
174.711549999487943,-36.786841110527433,1749156,3924,3924,38 Tamahere Dr,,Stop,-36.78684111,174.71155,49625,School Bus
174.739919999917987,-36.785165832398583,1749157,3938,3938,92 Sunnybrae Rd,,Stop,-36.78516583,174.73992,49610,School Bus
174.732559999482334,-36.789854999237072,1749158,3952,3952,102 Coronation Rd,,Stop,-36.789855,174.73256,41255,School Bus
174.73527999945594,-36.817958054746498,1749159,3975,3975,11 Wakanui St,,Stop,-36.81795806,174.73528,41189,School Bus
174.708800000059114,-36.820828054396841,1749160,3999,3999,71 Onetaunga Rd,,Stop,-36.82082806,174.7088,41202,School Bus
174.707990000365101,-36.81750611049906,1749161,4001,4001,Opp 12 Onetaunga Rd,,Stop,-36.81750611,174.70799,41213,School Bus
174.715059999506224,-36.797563888023788,1749162,4071,4071,Eskdale Rd near Hobby Ave,,Stop,-36.79756389,174.71506,41240,School Bus
174.70879000022407,-36.793771110262504,1749163,4073,4073,71 Eskdale Rd,,Stop,-36.79377111,174.70879,49593,School Bus
174.744889999765434,-36.813168887997847,1749164,4088,4088,192 Queen St,,Stop,-36.81316889,174.74489,41168,School Bus
174.745429999774842,-36.816206943809412,1749165,4090,4090,148 Queen St,,Stop,-36.81620694,174.74543,41171,School Bus
174.745270000415076,-36.817958054289868,1749166,4092,4092,126 Queen St,,Stop,-36.81795806,174.74527,41172,School Bus
174.746769999981353,-36.819591943714549,1749167,4094,4094,94 Queen St,,Stop,-36.81959194,174.74677,41177,School Bus
174.74773999948917,-36.821576943672909,1749168,4096,4096,56 Queen St,,Stop,-36.82157694,174.74774,41175,School Bus
174.74804999989243,-36.823824998883943,1749169,4098,4098,Opp 22 Queen St,,Stop,-36.823825,174.74805,41173,School Bus
174.739436944491757,-36.747461943803906,1749170,4099,4099,315 Sunset Rd,,Stop,-36.74746194,174.73943694,41403,School Bus
174.700949999952712,-36.795609165620576,1749171,4103,4103,157 Birkdale Rd,,Stop,-36.79560917,174.70095,41231,School Bus
174.668951110997426,-36.65014388807915,1749172,4105,4105,East Coast Rd opposite Wilks Rd,,Stop,-36.65014389,174.66895111,61108,School Bus
174.737407222680844,-36.6920644435966,1749173,4107,4107,Opp 10 Ashley Ave,,Stop,-36.69206444,174.73740722,41618,School Bus
174.713489999954106,-36.812091110635464,1749174,4116,4116,44 Chelsea View Dr,,Stop,-36.81209111,174.71349,41218,School Bus
